# == pyFAI calibration ==
# Distance Sample to Detector: 1.19389178917929 m
# PONI: 2.049e-01, 2.073e-01 m
# Rotations: -0.002895 0.008002 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1193.935 mm
# Center: x=712.167, y=724.652 pix
# Tilt: 0.488 deg  TiltPlanRot: 70.108 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.960e-04, 2.960e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.393e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> example-analysis/integrated.dat
#       2th_deg             I 
  4.842860e-01    1.947975e+00
  4.871445e-01    1.909193e+00
  4.900030e-01    1.816021e+00
  4.928616e-01    1.753826e+00
  4.957201e-01    1.771166e+00
  4.985786e-01    1.850245e+00
  5.014371e-01    1.875981e+00
  5.042956e-01    1.875258e+00
  5.071541e-01    1.913608e+00
  5.100127e-01    1.902113e+00
  5.128712e-01    1.821457e+00
  5.157297e-01    1.830958e+00
  5.185882e-01    1.874314e+00
  5.214467e-01    1.875005e+00
  5.243053e-01    1.821915e+00
  5.271638e-01    1.806543e+00
  5.300223e-01    1.841445e+00
  5.328808e-01    1.809946e+00
  5.357393e-01    1.744920e+00
  5.385979e-01    1.765478e+00
  5.414564e-01    1.785290e+00
  5.443149e-01    1.849903e+00
  5.471734e-01    1.895886e+00
  5.500319e-01    2.046494e+00
  5.528905e-01    2.085035e+00
  5.557490e-01    2.038528e+00
  5.586075e-01    1.994820e+00
  5.614660e-01    1.927911e+00
  5.643245e-01    1.922764e+00
  5.671831e-01    1.924171e+00
  5.700416e-01    1.937720e+00
  5.729001e-01    1.919195e+00
  5.757586e-01    1.942349e+00
  5.786171e-01    1.944460e+00
  5.814756e-01    2.012980e+00
  5.843342e-01    2.026332e+00
  5.871927e-01    1.999457e+00
  5.900512e-01    1.960286e+00
  5.929097e-01    1.907692e+00
  5.957682e-01    1.918739e+00
  5.986268e-01    1.929856e+00
  6.014853e-01    2.029855e+00
  6.043438e-01    2.103565e+00
  6.072023e-01    2.140191e+00
  6.100608e-01    2.165879e+00
  6.129194e-01    2.234492e+00
  6.157779e-01    2.170680e+00
  6.186364e-01    2.107616e+00
  6.214949e-01    2.056348e+00
  6.243534e-01    1.963184e+00
  6.272120e-01    1.908647e+00
  6.300705e-01    1.876377e+00
  6.329290e-01    1.862960e+00
  6.357875e-01    1.957966e+00
  6.386460e-01    2.025512e+00
  6.415045e-01    1.967581e+00
  6.443631e-01    1.959364e+00
  6.472216e-01    1.951853e+00
  6.500801e-01    1.896464e+00
  6.529386e-01    1.933561e+00
  6.557971e-01    1.946491e+00
  6.586557e-01    1.948547e+00
  6.615142e-01    1.959326e+00
  6.643727e-01    1.998050e+00
  6.672312e-01    2.042510e+00
  6.700897e-01    2.075172e+00
  6.729483e-01    2.041725e+00
  6.758068e-01    2.058188e+00
  6.786653e-01    2.085517e+00
  6.815238e-01    2.077642e+00
  6.843823e-01    2.148908e+00
  6.872409e-01    2.215828e+00
  6.900994e-01    2.206001e+00
  6.929579e-01    2.234646e+00
  6.958164e-01    2.249814e+00
  6.986749e-01    2.201444e+00
